id,make,model,year,Cost
125,Land Rover,Range Rover,2011,"€15671,48"
126,Ford,E-Series,2012,"€14369,10"
127,Suzuki,Kizashi,2011,"€17085,99"
128,Honda,Prelude,1993,"€22551,11"
129,Acura,Legend,1995,"€12922,70"
130,Pontiac,Sunbird,1986,"€24154,03"
131,Buick,Coachbuilder,1990,"€23058,03"
132,Lexus,GS,2006,"€14555,49"
133,Ford,Econoline E150,2002,"€17948,27"
134,Chevrolet,Tahoe,2005,"€12211,02"
135,Lotus,Elan,1992,"€12894,35"
136,Ford,E-Series,2003,"€11395,15"
137,Nissan,Maxima,2012,"€9843,23"
138,Subaru,Justy,1991,"€22664,00"
139,Mitsubishi,Starion,1984,"€10964,64"
140,Suzuki,XL-7,2004,"€12780,29"
141,Volkswagen,Corrado,1993,"€20783,91"
142,Volkswagen,Golf III,1994,"€22924,90"
143,Pontiac,G6,2006,"€15939,20"
144,Mazda,MX-3,1992,"€10495,18"
145,Ford,Ranger,2000,"€2474,25"
146,Ford,EXP,1985,"€19504,63"
147,Pontiac,Bonneville,1992,"€23949,71"
148,Saab,9-5,2004,"€12455,83"
149,Nissan,200SX,1997,"€16560,69"
150,Audi,V8,1994,"€23151,83"
151,Nissan,Maxima,2011,"€15747,85"
152,Bentley,Continental,2008,"€12183,00"
153,Suzuki,Daewoo Magnus,2005,"€13175,45"
154,Volkswagen,Jetta,2005,"€17874,17"
155,Ford,Explorer Sport Trac,2005,"€6499,01"
156,Mazda,Miata MX-5,1992,"€15298,82"
157,Suzuki,Swift,1992,"€5002,09"
158,Volvo,C30,2010,"€6157,55"
159,Volkswagen,Passat,1985,"€2165,05"
160,Infiniti,Q,1996,"€23949,07"
161,Lexus,IS-F,2008,"€14811,72"
162,Ford,Mustang,1971,"€16435,37"
163,Mazda,MX-6,1996,"€2407,81"
164,Buick,Century,1992,"€7543,41"
165,Saab,900,1986,"€6677,31"
166,Studebaker,Avanti,1962,"€9345,40"
167,Hyundai,Accent,1998,"€13440,15"
168,Audi,Quattro,1985,"€16132,31"
169,Dodge,Magnum,2007,"€24360,06"
170,Hummer,H2 SUT,2006,"€6788,35"
171,Hyundai,Accent,2013,"€20023,17"
172,Oldsmobile,Alero,2001,"€21480,13"
173,Lotus,Elise,2006,"€12179,17"
174,Chevrolet,Cobalt SS,2009,"€9682,45"
175,Nissan,Quest,2009,"€10363,25"
176,Pontiac,Bonneville,1997,"€20052,68"
177,Buick,Rendezvous,2007,"€20109,99"
178,Suzuki,SX4,2010,"€5025,34"
179,Nissan,Sentra,2012,"€19493,09"
180,Daewoo,Leganza,2000,"€16718,83"
181,Mazda,Protege,1995,"€22332,72"
182,Nissan,Rogue,2011,"€7676,51"
183,Lincoln,LS,2002,"€18379,67"
184,Audi,S6,2009,"€1153,50"
185,Lamborghini,Murciélago,2002,"€7508,23"
186,Aptera,Typ-1,2008,"€4777,75"
187,Chevrolet,Camaro,1982,"€24423,81"
188,Chrysler,Concorde,1993,"€24953,01"
189,BMW,M3,1999,"€19395,13"
190,Oldsmobile,Cutlass Cruiser,1994,"€14641,23"
191,Chrysler,Crossfire Roadster,2006,"€7956,45"
192,Nissan,300ZX,1996,"€23282,21"
193,Ford,Explorer,2013,"€23786,86"
194,Mitsubishi,Galant,2000,"€5968,82"
195,Volvo,S80,2009,"€20155,36"
196,Chevrolet,Suburban 2500,2012,"€5681,08"
197,Mercedes-Benz,SL-Class,2005,"€8479,58"
198,Toyota,Corolla,1997,"€14347,40"
199,Mercedes-Benz,CLS-Class,2007,"€12734,22"
200,Audi,S8,2002,"€21317,81"
201,BMW,7 Series,2002,"€15200,88"
202,Ford,Excursion,2002,"€13528,17"
203,Toyota,Prius,2003,"€23754,45"
204,Dodge,Ram Van B250,1994,"€1648,44"
205,Acura,TSX,2012,"€18800,31"
206,Jaguar,XK,2011,"€7916,11"
207,Dodge,Dakota,2000,"€7957,87"
208,Jaguar,XF,2009,"€20538,63"
209,Plymouth,Laser,1989,"€24491,68"
210,Land Rover,Defender,1995,"€20566,57"
211,Isuzu,Rodeo Sport,2002,"€18261,40"
212,Buick,Skyhawk,1988,"€12513,64"
213,Aston Martin,Vanquish S,2005,"€8478,44"
214,Ferrari,599 GTB Fiorano,2009,"€10655,72"
215,Mitsubishi,Outlander,2010,"€3072,83"
216,Nissan,200SX,1996,"€1233,06"
217,Volkswagen,Golf,1994,"€14105,74"
218,Dodge,Dakota,1996,"€3710,30"
219,Ford,Expedition,2006,"€7769,95"
220,Mercury,Capri,1991,"€9291,69"
221,Lincoln,Town Car,1994,"€11904,84"
222,Kia,Sedona,2003,"€17559,47"
223,Honda,Passport,2001,"€23997,03"
224,Audi,A5,2008,"€16360,55"
225,Kia,Sportage,2008,"€22372,47"
226,Dodge,Neon,2000,"€14362,14"
227,GMC,Envoy,2005,"€12114,01"
228,Chevrolet,Silverado 3500,2005,"€1784,07"
229,BMW,525,2005,"€18374,26"
230,Dodge,Daytona,1984,"€22878,11"
231,Porsche,Cayenne,2008,"€22713,27"
232,Buick,Riviera,1988,"€10984,31"
233,BMW,X5,2004,"€9818,99"
234,Infiniti,G35,2004,"€18392,22"
235,Porsche,Cayman,2011,"€24070,95"
236,Lincoln,Mark VII,1992,"€5442,71"
237,Ford,Mustang,1988,"€4676,48"
238,GMC,Sierra 1500,2011,"€16005,92"
239,Pontiac,GTO,1968,"€6996,89"
240,Toyota,Highlander,2008,"€7169,90"
241,Toyota,Tundra,2009,"€11685,63"
242,Pontiac,Parisienne,1985,"€10062,66"
243,Bentley,Arnage,2008,"€21959,88"
244,Pontiac,Sunbird,1985,"€24447,13"
245,Bentley,Azure,2010,"€5724,35"
246,Jaguar,X-Type,2005,"€2963,98"
247,Dodge,Ram 2500,1995,"€20754,37"
248,Cadillac,Escalade EXT,2007,"€19193,98"
249,Pontiac,6000,1991,"€15956,09"
250,Chevrolet,Silverado 1500,1999,"€1077,03"
251,Mitsubishi,Galant,2002,"€13369,18"
252,Lincoln,Aviator,2004,"€2475,90"
253,Plymouth,Grand Voyager,1992,"€17976,89"
254,Lexus,HS,2012,"€19565,45"
255,Pontiac,Aztek,2003,"€7378,60"
256,Buick,Skylark,1986,"€4089,84"
257,Chrysler,LHS,2000,"€6221,13"
258,Dodge,Ram 2500,2008,"€18859,15"
259,Aston Martin,DBS,2011,"€12274,54"
260,Hyundai,Tucson,2006,"€24037,98"
261,Lincoln,MKZ,2012,"€5100,44"
262,Chrysler,300M,2002,"€19573,61"
263,Buick,LaCrosse,2010,"€1895,97"
264,GMC,Yukon XL 2500,2006,"€1932,03"
265,Maserati,Coupe,2006,"€18752,40"
266,Saturn,Astra,2009,"€20694,44"
267,Dodge,Ram 2500,2008,"€11157,50"
268,Chevrolet,Suburban,2007,"€10018,71"
269,Honda,Civic,1980,"€8512,15"
270,Subaru,Tribeca,2007,"€12739,06"
271,Oldsmobile,Alero,2000,"€14754,94"
272,Lincoln,LS,2001,"€6580,74"
273,Chevrolet,Silverado 3500,2012,"€18995,65"
274,Ford,Explorer,2002,"€17304,42"
275,Ford,Thunderbird,1983,"€10484,39"
276,Mazda,B-Series,2009,"€20612,68"
277,Pontiac,Safari,1989,"€5957,47"
278,Cadillac,Escalade ESV,2006,"€22135,60"
279,Volvo,S80,2001,"€21471,75"
280,Lincoln,Town Car,1998,"€10438,72"
281,Scion,tC,2013,"€8411,63"
282,Pontiac,G6,2009,"€5824,05"
283,Chevrolet,HHR,2006,"€18438,95"
284,Oldsmobile,Cutlass Supreme,1992,"€13901,42"
285,Mazda,RX-7,1992,"€3964,33"
286,Porsche,Cayman,2007,"€22936,26"
287,Dodge,Ram 3500,2006,"€23238,25"
288,Oldsmobile,Regency,1997,"€13197,06"
289,Land Rover,LR2,2008,"€7388,43"
290,BMW,525,2001,"€20337,93"
291,Mercedes-Benz,300SL,1992,"€8554,61"
292,Nissan,Murano,2009,"€10776,36"
293,Volkswagen,Golf,2001,"€11933,16"
294,Mercedes-Benz,C-Class,1999,"€16424,92"
295,Mitsubishi,Mighty Max,1992,"€7888,35"
296,GMC,Canyon,2012,"€23014,36"
297,Lincoln,Town Car,2003,"€2619,83"
298,Lexus,LX,2009,"€4466,62"
299,Volvo,940,1995,"€11060,05"
300,Nissan,Maxima,2000,"€4060,34"
301,Volvo,S40,2001,"€15779,44"
302,Oldsmobile,Silhouette,2004,"€19944,85"
303,GMC,Sierra 1500,2000,"€15918,11"
304,Bentley,Continental,2005,"€10988,09"
305,Hyundai,Veloster,2012,"€23479,30"
306,Toyota,Tacoma Xtra,1996,"€4805,37"
307,Ford,Thunderbird,1955,"€20875,63"
308,Kia,Amanti,2004,"€10121,16"
309,Mercury,Mountaineer,2009,"€19006,97"
310,Mitsubishi,Cordia,1988,"€10549,45"
311,Subaru,Baja,2005,"€8781,67"
312,Ford,F350,1992,"€20650,53"
313,Ford,Bronco II,1988,"€18271,34"
314,GMC,Sierra 2500,2003,"€6943,26"
315,Honda,Insight,2004,"€22700,28"
316,Pontiac,Torrent,2006,"€7236,55"
317,Infiniti,QX,2001,"€15283,56"
318,Ford,E350,2007,"€21157,76"
319,Chrysler,Grand Voyager,2000,"€14472,97"
320,Subaru,Impreza,1998,"€19047,04"
321,Chevrolet,Corvette,2007,"€11442,53"
322,Porsche,Boxster,1997,"€16355,94"
323,GMC,Sierra 2500,2007,"€7327,51"
324,Chevrolet,Cavalier,1998,"€20016,41"
325,Cadillac,DTS,2006,"€24408,01"
326,Ford,F350,2006,"€22876,09"
327,Toyota,Tacoma,2000,"€24087,63"
328,Dodge,Colt,1989,"€23856,30"
329,Ford,Fusion,2007,"€10353,88"
330,Alfa Romeo,164,1994,"€13427,13"
331,Dodge,Ram Van B250,1992,"€2304,96"
332,Audi,A6,2012,"€17187,05"
333,Pontiac,GTO,1971,"€23293,56"
334,Dodge,Stealth,1996,"€10955,14"
335,Mitsubishi,Lancer,2003,"€3731,27"
336,Volkswagen,Golf,1988,"€19159,51"
337,Ford,Fusion,2007,"€14900,35"
338,Subaru,XT,1989,"€1827,94"
339,Toyota,Avalon,2007,"€6399,30"
340,Infiniti,G,1999,"€16246,07"
341,Saturn,Ion,2007,"€7161,33"
342,Mazda,MX-6,1992,"€5698,63"
343,BMW,7 Series,1996,"€18862,40"
344,Buick,Regal,1992,"€20334,91"
345,Volvo,XC70,2005,"€20202,50"
346,Honda,Odyssey,2002,"€7213,22"
347,GMC,Sonoma,1997,"€2852,94"
348,Acura,RL,2002,"€9153,83"
349,Chevrolet,Avalanche 1500,2006,"€2861,95"
350,Honda,Prelude,2000,"€8139,76"
351,Ford,Crown Victoria,1992,"€15739,98"
352,Mazda,MX-3,1992,"€24386,19"
353,Acura,Vigor,1993,"€10962,17"
354,Buick,Regal,1987,"€1966,61"
355,Kia,Spectra,2004,"€22853,92"
356,Ford,E150,2005,"€11969,19"
357,Buick,LeSabre,1995,"€21716,81"
358,Ford,Fusion,2009,"€8043,81"
359,Volvo,940,1995,"€20520,51"
360,Subaru,Impreza,1997,"€12276,42"
361,Audi,V8,1991,"€4315,40"
362,Ford,Escape,2001,"€23381,97"
363,Buick,Regal,1988,"€7298,15"
364,Honda,CR-V,1998,"€20895,08"
365,BMW,X6 M,2010,"€8831,50"
366,Chevrolet,Colorado,2010,"€11275,39"
367,Audi,A4,2011,"€16958,93"
368,Toyota,Prius,2001,"€5101,44"
369,Nissan,Maxima,1999,"€20689,76"
370,GMC,1500 Club Coupe,1996,"€17145,22"
371,Ford,EXP,1986,"€8503,04"
372,Isuzu,VehiCROSS,1999,"€3094,49"
373,Pontiac,Grand Am,1992,"€5715,63"
374,Volvo,850,1994,"€24341,19"
375,Buick,Regal,2004,"€17829,09"
376,Hyundai,Equus,2013,"€3420,52"
377,Buick,LaCrosse,2006,"€12725,68"
378,Lotus,Esprit,1990,"€9576,42"
379,Mercedes-Benz,C-Class,2007,"€10082,96"
380,Chevrolet,Astro,2001,"€22734,95"
381,Volvo,S70,2000,"€12643,95"
382,GMC,Sonoma,1992,"€11133,97"
383,Toyota,Camry,2002,"€3417,18"
384,Mitsubishi,Lancer,2002,"€6967,88"
385,Pontiac,Trans Sport,1990,"€16923,66"
386,Cadillac,Escalade ESV,2008,"€3685,93"
387,Toyota,Supra,1996,"€19368,96"
388,Mercury,Topaz,1984,"€19856,12"
389,GMC,Savana 3500,2006,"€7012,63"
390,Chevrolet,Sportvan G30,1994,"€18965,22"
391,Toyota,4Runner,2002,"€14909,96"
392,Infiniti,G25,2011,"€12062,33"
393,Ford,Aspire,1994,"€5329,27"
394,Cadillac,Catera,1999,"€14463,00"
395,Subaru,XT,1987,"€2925,23"
396,Volvo,S80,2010,"€14920,97"
397,BMW,5 Series,2010,"€6708,03"
398,Mazda,Miata MX-5,1993,"€3865,25"
399,Chevrolet,Corvette,1970,"€6459,55"
400,Cadillac,CTS,2011,"€13448,19"
401,GMC,Savana 2500,1997,"€3059,31"
402,Kia,Amanti,2007,"€3192,05"
403,Land Rover,Defender 90,1994,"€22882,51"
404,Chevrolet,Express 2500,2001,"€14638,92"
405,Ford,E-Series,2012,"€7354,88"
406,Lamborghini,Diablo,1994,"€10517,45"
407,Ford,E-Series,1992,"€1343,62"
408,Volvo,S40,2008,"€23051,66"
409,Jaguar,XK Series,1999,"€2914,23"
410,Mercury,Grand Marquis,1988,"€9606,96"
411,Chevrolet,S10,1992,"€6453,41"
412,Chrysler,Concorde,1999,"€22032,34"
413,Mercedes-Benz,CLS-Class,2009,"€12902,77"
414,Ford,F-Series,1988,"€19076,42"
415,Toyota,Highlander,2001,"€17914,43"
416,Volvo,V40,2003,"€9599,71"
417,Honda,Element,2004,"€5997,44"
418,Chevrolet,Classic,2005,"€7585,72"
419,Mercury,Grand Marquis,2002,"€5144,89"
420,Ford,Taurus,1995,"€22044,30"
421,Volvo,S60,2007,"€23208,73"
422,Toyota,Matrix,2007,"€19644,58"
423,Jeep,Cherokee,1994,"€6892,00"
424,Mercedes-Benz,W123,1977,"€18050,68"
425,Honda,Element,2004,"€7364,73"
426,Chevrolet,Express 3500,2005,"€17939,62"
427,Chevrolet,Blazer,2004,"€18333,47"
428,Honda,Civic,1999,"€18278,12"
429,Mercury,Tracer,1995,"€3619,97"
430,BMW,M3,2011,"€16089,57"
431,Pontiac,6000,1989,"€15449,15"
432,GMC,1500,1992,"€2528,13"
433,Mitsubishi,Pajero,2000,"€9439,09"
434,Buick,LeSabre,1994,"€17926,91"
435,Oldsmobile,Cutlass Supreme,1995,"€21109,97"
436,Kia,Spectra,2005,"€19242,86"
437,Mazda,626,1998,"€16921,28"
438,Chrysler,Sebring,1999,"€4010,78"
439,Lexus,ES,2009,"€15966,95"
440,Saab,9000,1986,"€5704,71"
441,Nissan,Versa,2010,"€19319,10"
442,Tesla,Roadster,2011,"€10981,66"
443,Aston Martin,Vanquish S,2005,"€14624,37"
444,Honda,Accord,2012,"€20225,68"
445,Chevrolet,Suburban 1500,2012,"€24549,60"
446,Dodge,Dakota Club,1998,"€15366,15"
447,Mazda,Mazda6,2010,"€12562,17"
448,Pontiac,Firebird Trans Am,1986,"€3003,48"
449,Buick,Enclave,2008,"€6281,35"
450,Isuzu,Ascender,2003,"€15802,61"
451,Jeep,Wrangler,2001,"€22595,70"
452,Ford,Escort,1999,"€11210,46"
453,Lincoln,MKZ,2012,"€22348,50"
454,Volvo,C70,2000,"€8402,50"
455,BMW,760,2003,"€3471,52"
456,Toyota,RAV4,2002,"€21898,60"
457,GMC,Sierra 3500,2002,"€17682,11"
458,Porsche,911,1997,"€1170,27"
459,Suzuki,SJ,1987,"€21699,79"
460,Mitsubishi,Montero,2004,"€11157,85"
461,Jeep,Wrangler,2011,"€20412,67"
462,Cadillac,XLR-V,2009,"€21919,41"
463,Honda,Passport,2000,"€5623,00"
464,Dodge,Neon,2001,"€4688,20"
465,Plymouth,Fury,1964,"€9036,29"
466,Ford,F450,2012,"€12733,30"
467,Panoz,Esperante,2005,"€1215,79"
468,Toyota,Solara,2001,"€10035,12"
469,Pontiac,6000,1986,"€14322,74"
470,Ford,Crown Victoria,1998,"€7813,12"
471,Porsche,928,1986,"€13229,77"
472,Mazda,323,1993,"€9505,50"
473,Toyota,Yaris,2008,"€4778,17"
474,Toyota,Land Cruiser,2010,"€10340,17"
475,Mitsubishi,Expo,1993,"€20776,20"
476,Hummer,H2 SUV,2006,"€6254,93"
477,Hyundai,Genesis,2009,"€23079,72"
478,Volvo,C70,2003,"€8832,41"
479,Ford,E-Series,2004,"€14688,35"
480,Ford,F250,2000,"€5020,43"
481,Lincoln,Continental,2001,"€22488,52"
482,Volvo,S60,2006,"€16893,04"
483,Volkswagen,Touareg,2008,"€13239,77"
484,Infiniti,Q,2004,"€22460,67"
485,Ford,F-Series,1996,"€1419,31"
486,Chrysler,Concorde,1994,"€11575,98"
487,Mitsubishi,Mirage,1993,"€21440,19"
488,GMC,Rally Wagon G3500,1995,"€3411,33"
489,Mitsubishi,Montero Sport,2000,"€23998,32"
490,Oldsmobile,Alero,2001,"€2263,20"
491,Chevrolet,3500,1994,"€7801,74"
492,Nissan,Frontier,1999,"€4461,86"
493,Suzuki,XL7,2007,"€5473,87"
494,Cadillac,SRX,2004,"€22463,44"
495,Mercury,Grand Marquis,1989,"€10527,23"
496,Mercedes-Benz,C-Class,2008,"€1104,84"
497,Mitsubishi,Mirage,1989,"€3842,20"
498,Lincoln,MKZ,2009,"€13983,74"
499,Lexus,CT,2012,"€5946,92"
500,Lincoln,Continental,1987,"€19112,50"
501,Mitsubishi,3000GT,1993,"€24866,41"
502,Oldsmobile,Achieva,1998,"€12216,36"
503,Land Rover,Freelander,2005,"€20726,66"
504,Chevrolet,Express 1500,2000,"€17112,11"
505,Chevrolet,Astro,1995,"€11596,47"
506,Ford,Explorer,2000,"€16494,88"
507,Chevrolet,3500,1999,"€24403,57"
508,Lincoln,Continental,1985,"€16324,72"
509,Toyota,Solara,2005,"€14557,36"
510,GMC,Sierra 3500,2004,"€9754,47"
511,Cadillac,STS,2008,"€3835,17"
512,Ford,Crown Victoria,2008,"€10995,27"
513,Land Rover,Range Rover,2007,"€22742,70"
514,Bentley,Continental GT,2012,"€24651,56"
515,GMC,Savana 3500,1997,"€16857,79"
516,Plymouth,Breeze,1997,"€19033,25"
517,Aston Martin,Rapide,2012,"€3891,17"
518,Eagle,Talon,1994,"€13254,49"
519,Infiniti,G,1999,"€18270,20"
520,Chevrolet,TrailBlazer,2008,"€20470,33"
521,Pontiac,Grand Prix,1986,"€24208,45"
522,Buick,Roadmaster,1994,"€5950,17"
523,Pontiac,Firefly,1986,"€2340,55"
524,Hyundai,Accent,2012,"€6460,66"
525,Ferrari,F430,2006,"€8743,66"
526,Dodge,Dakota,2005,"€23545,13"
527,BMW,Z8,2001,"€5858,66"
528,Oldsmobile,Silhouette,1997,"€6146,63"
529,Chevrolet,Corvette,1994,"€11807,45"
530,Mazda,CX-9,2012,"€8564,47"
531,Nissan,Armada,2009,"€13233,57"
532,Subaru,Baja,2005,"€19268,36"
533,Plymouth,Voyager,1995,"€23266,19"
534,Acura,MDX,2011,"€2156,02"
535,Mitsubishi,Raider,2006,"€9687,46"
536,Audi,TT,2000,"€20304,99"
537,Volkswagen,GTI,1988,"€6123,94"
538,Lincoln,MKS,2012,"€4326,23"
539,Lexus,LS,2010,"€16616,04"
540,Kia,Optima,2009,"€18492,80"
541,Honda,Civic,2001,"€23474,96"
542,Saab,9-7X,2006,"€1941,96"
543,Buick,Park Avenue,2005,"€19467,05"
544,GMC,Suburban 1500,1994,"€3493,91"
545,Chrysler,Pacifica,2005,"€2006,74"
546,Dodge,Dakota,2010,"€4143,70"
547,Chevrolet,Lumina,1998,"€5191,92"
548,Chevrolet,Avalanche,2010,"€17179,60"
549,Mercedes-Benz,S-Class,2005,"€22824,63"
550,GMC,Savana 2500,2009,"€10111,15"
551,Chevrolet,Avalanche 1500,2005,"€4341,43"
552,Subaru,SVX,1992,"€7855,03"
553,Mitsubishi,Diamante,1994,"€10952,54"
554,Lexus,ES,1999,"€19436,06"
555,Oldsmobile,Aurora,2001,"€18208,47"
556,Mitsubishi,Montero Sport,2004,"€17776,45"
557,GMC,Sonoma,2003,"€12132,38"
558,Honda,Odyssey,2003,"€12711,01"
559,Oldsmobile,Silhouette,1992,"€12644,94"
560,BMW,X5 M,2011,"€19316,85"
561,Chrysler,Town & Country,1992,"€7785,67"
562,GMC,Canyon,2004,"€8093,78"
563,Ram,1500,2012,"€17382,40"
564,Ford,E250,2011,"€3661,59"
565,Lotus,Elan,1993,"€16810,77"
566,Lincoln,Town Car,1998,"€20994,13"
567,Volvo,S70,2000,"€14874,46"
568,Lexus,LS,2012,"€21281,85"
569,Volkswagen,R32,2008,"€22472,13"
570,Smart,Fortwo,2008,"€15409,90"
571,Subaru,Impreza,2008,"€13295,41"
572,Toyota,Paseo,1995,"€8415,89"
573,Volvo,S80,2012,"€24653,95"
574,Cadillac,Escalade ESV,2012,"€24049,81"
575,Pontiac,Bonneville,1984,"€5488,97"
576,Dodge,Ram 1500,2007,"€22678,21"
577,Dodge,Neon,2002,"€5682,68"
578,Mercedes-Benz,CLK-Class,2006,"€22772,97"
579,Chrysler,Cirrus,1997,"€15819,83"
580,Mazda,Miata MX-5,1997,"€8548,12"
581,MINI,Cooper,2011,"€1310,97"
582,Audi,A5,2012,"€4903,33"
583,Ford,Escort ZX2,2003,"€11011,34"
584,Pontiac,Bonneville,1986,"€7381,48"
585,Lotus,Esprit,1988,"€10655,83"
586,Hyundai,Santa Fe,2012,"€6842,60"
587,Dodge,Ram Van B250,1994,"€21340,85"
588,Toyota,T100,1997,"€4843,53"
589,Pontiac,Firebird,1968,"€12685,84"
590,Ford,Laser,1985,"€12633,59"
591,Pontiac,Trans Sport,1997,"€17705,85"
592,Ford,Crown Victoria,1996,"€13275,75"
593,Chevrolet,Corvette,1958,"€24987,76"
594,Dodge,Ram Van 2500,1995,"€20705,57"
595,Chevrolet,Blazer,2000,"€15748,16"
